ArtbestId;ArtbestKod;ArtbestNamn;ArtbestFaktora;ArtbestFaktorb;ArtbestMinlangd;ArtbestMaxlangd;ArtbestMinvikt;ArtbestMaxvikt
134;SVSM;Svart smörbult;12.20000;2.98112;6;15;0.002;0.029
135;TAMA;Taggmakrill;12.10000;2.91800;7;15;NULL;NULL
136;TEFI;Tejstefisk;1.54000;3.23069;11;21;0.002;0.008
137;TJMU;Tjockläppad multe;8.50000;3.00000;25;58;0.000;0.001
138;KUTO;Kusttobis;2.51000;3.03000;15;20;NULL;NULL
139;TOKU;Tobiskung;1.97000;3.08396;20;31;0.000;0.007
140;TORS;Torsk;7.30000;3.05776;7;70;0.002;0.500
143;TUVA;Tungevar;11.44752;2.83026;7;16;0.000;0.001
145;TÅLA;Tånglake;2.08248;3.23769;12;35;0.005;0.018
147;TÅSN;Tångsnälla;0.25603;3.12265;11;35;0.000;0.004
148;TÅSP;Tångspigg;1.51250;3.25119;6;15;0.002;0.007
149;TÅST;Tångsnärta;NULL;NULL;999;0;NULL;NULL
150;VILY;Vitlinglyra;NULL;NULL;10;20;NULL;NULL
151;VIMM;Vimma;3.91816;3.26719;12;38;0.050;0.300
152;VITL;Vitling;6.65013;3.03628;7;35;0.006;0.020
153;ÅL;Ål;0.24200;3.48500;25;99;0.070;1.500
156;ÄKTU;Tunga;7.76993;3.05114;10;41;0.002;0.130
157;ÖRIN;Öring;6.01000;3.13909;20;80;0.015;5.600
162;SMSB;Svartmunnad smörbult;6.01100;3.33060;5;28;NULL;NULL
163;SKTO;Skäggtorsk;10.50000;3.06900;999;0;NULL;NULL
200;TOBI;Tobis (kust-/havs-);1.50691;3.21741;5;25;0.000;0.007
201;TOFI;Tobisfisk obestämd;2.09000;3.06996;999;0;NULL;NULL
202;LEST;Lerstubb;8.91000;3.09000;2;6;0.000;0.001
203;STUB;Stubb (sand/ler);7.25000;3.14000;999;0;NULL;NULL
208;;Grönling;NULL;NULL;999;0;NULL;NULL
210;;Mal;NULL;NULL;999;0;NULL;NULL
228;FLSJ;Fläckig sjökock;9.77000;2.75000;999;0;NULL;NULL
5002;NÄSJ;Nätmönstrad sjökock;NULL;NULL;999;0;NULL;NULL
5003;;Simpstubb;NULL;NULL;999;0;NULL;NULL
5004;;tvåfläckig dubbelsugare;NULL;NULL;999;0;NULL;NULL
